NIVEAU	METADATA_TV_HC	METADATA_KA	INLEIDING_BRON1	TEKSTBRON_OFURL	TOELICHTING_BRON																						
Havo	Tijdvak 1	KA 1 - De levenswijze van jagers-verzamelaars	"
De Portugese ontdekkingsreiziger Pêro Vaz de Caminha schrijft, na zijn
aankomst in het tegenwoordige Brazilië op 23 april 1500, in een brief aan de Portugese koning Manuel I:"	"Dinsdagochtend gingen we weer aan land om meer brandhout en water te
halen. Er waren weer elegant beschilderde inboorlingen. Cabral (de leider van de expeditie) beval ons dat wij rechtstreeks naar het kruis dat tegen de boom vlak bij de rivier stond, moesten gaan, dat wij moesten knielen en het moesten kussen, zodat de inboorlingen konden zien hoeveel respect wij ervoor hadden. (…)
Ze werken niet, telen geen vee, er is hier geen koe, geen os, geen geit noch
enig ander dier dat gewend is aan de levenswijze van de mens. Ze eten slechts
knollen die hier overvloedig groeien, en de zaden en vruchten die de bodem en de bomen zelf voortbrengen. (…)
""Vandaag, vrijdag 1 mei, gingen we met onze vlag aan land. We begaven ons
naar de zuidkant van de rivier, waar de plek ons beter leek om het kruis met de wapenschilden en de vaandels van Zijne Majesteit op te stellen. Vervolgens
droeg pater Enrique de mis op. De Indianen die daar waren gingen bij ons zitten of knielen, zoals ook wij deden. (…)
Nicolau Coelho had tinnen kruisen meegebracht, die hij vervolgens stuk voor stuk aan hen uitdeelde. (…)
Dit land dat wij tot de zuidelijke punt hebben bezocht en waarvan we de
noordelijke punt vanaf ons schip kunnen zien, moet zo groot zijn dat het een
kustlijn van 60 of 65 zeemijlen moet hebben. Het binnenland leek zeer groot. Tot op heden zijn we er niet achter gekomen of er goud of zilver is, of enig ander
metaal. Dit land is ongerept en als men het wil benutten, kan men er alles laten groeien, dankzij de zoete wateren die het heeft.
Op deze wijze, mijnheer, bericht ik Zijne Majesteit wat ik in dit land heb gezien."""																							
Havo	Tijdvak 1	KA 1 - De levenswijze van jagers-verzamelaars	"
Kleitablet van omstreeks 2100 voor Chr., gevonden in het archief van een opgegraven tempel uit Mesopotamië in het tegenwoordige Irak"	https://lh3.googleusercontent.com/CJ1MDzclPwPK19uf-EVEB_fy-aWOBPyuMln7jSag4R-5mZAicmffyS0aHpwQgrrDd1MtnbGPpladGm7CvDp0baymwx2IDqz7gbkkHhdK8nveXLFlqsb0QM6DvkP-eMCNvJp7tAM	"Toelichting
Het tablet in spijkerschrift is afkomstig van de administratie van de tempel. Het bevat een lijst van arbeiders met de broodrantsoenen die zij voor hun werk
ontvangen hebben."																						
Havo	Tijdvak 1	KA 1 - De levenswijze van jagers-verzamelaars	"
In 1991 wordt hoog in de Alpen bij een gletsjer een bevroren, goed
geconserveerd lichaam van een man gevonden, die de naam “Ötzi de
gletsjermummie” krijgt. Uit onderzoek blijkt dat de man rond 3000 v. Chr. tijdens
een tocht door de bergen is omgekomen en dat zijn lichaam direct daarna in het ijs is ingevroren:"	"https://lh5.googleusercontent.com/oYTijdvakRlJBsWwtVZR21Tbc5cR2ofK1fZwJ0hzsPJD4DefPENx7EMajVfGxMELgnOh6uJF6h_CXiMKBxRp4TiKXQLSiSco6gbUmMHjtiNjSgy7tsoYtH8xVXmNoGcvWbBJ4tlUzxf8

https://lh5.googleusercontent.com/vk9CBsGLR-x4EJEv-Wqld53jatnBiV_oj04Ciwn51WZUIkJG6pT7FohzxeaGviIiMoAGLHHy-ls2qMrnmiTmyc9t6zeYkhjkfZxVRG3Jb7qiQ0iHerRtJqjluqYkHbZOEfCXCO8"	"Toelichting
Bij zijn lichaam worden onder andere aangetroffen:
 een aantal voor een deel onafgewerkte pijlen. Slechts twee vuursteenpijlen
hadden een punt en waren bruikbaar. De twaalf andere waren nog niet klaar;
 een bijl van koper, met berkenteer en leren riemen vastgezet in een steel van taxushout;
 hertenleren schoenen gevuld met hooi.

In zijn ingewanden worden de resten van zijn laatste maaltijden gevonden:
edelhertenvlees, eekhoorn en brood of pap van een tarwesoort."																						
Havo	Tijdvak 3	KA 12 - het ontstaan van feodale verhoudingen in het bestuur	"
Karel de Kale, kleinzoon van Karel de Grote, geeft in 864 het Edict (verordening) van Pîtres uit over onder andere het slaan van munten. Hij brengt daarin het
aantal plaatsen waar munten mogen worden geslagen terug van negen naar
drie. Zijn eigen paleis is één van die drie. Verder bepaalt het edict"	"En op de nieuwe munten moet op de ene kant onze naam staan in een cirkel met het monogram van onze naam in het midden, en op de andere kant de
naam van onze staat en een kruis in het midden. (…)
Om te zorgen dat de bepalingen kunnen worden gecontroleerd, dat goede
munten niet kunnen worden geweigerd en dat valse munten niet kunnen worden gemaakt, wensen we dat elke controleur ervoor zorgt dat de markten van zijn
district worden vastgelegd. Dat hij ons vertelt welke markten er waren in de tijd van onze grootvader, en welke nieuwe ontstonden in de tijd van onze vader. (...) En welke markten begonnen in onze eigen tijd, welke van deze markten op hun oude locatie bleven. En als ze zijn verplaatst, onder wiens autoriteit de locatie is
veranderd."																							
Havo	Tijdvak 3	KA 12 - het ontstaan van feodale verhoudingen in het bestuur	"
Tussen 817 en 830 schrijft Einhard, geschiedschrijver aan het hof van keizer Karel de Grote, een boek over het leven van Karel de Grote. Daarin vertelt hij"	"Er was een zeker bisdom dat precies op de reisroute van Karel lag, zodat hij het nauwelijks kon vermijden; en de bisschop van die plaats, altijd bezorgd om de mensen (uit het gevolg van Karel) tevreden te stellen, stelde al wat hij had, ter
beschikking van Karel.
Maar eens, toen de keizer volkomen onverwachts kwam, moest de bisschop in grote onrust heen en weer vliegen als een zwaluw, en liet hij niet alleen de
paleisvertrekken en gebouwen, maar ook de binnenplaatsen en pleinen
aanvegen en schoonmaken; daarna kwam hij hem vermoeid en geïrriteerd
tegemoet. De zeer vrome Karel merkte dit, en na zelfs de kleinste onderdelen geïnspecteerd te hebben, zei hij tot de bisschop: “Mijn vriendelijke gastheer, u laat alles altijd prachtig schoonmaken voor mijn aankomst.” Toen, als onder
goddelijke inspiratie, boog de bisschop het hoofd, nam de nooit overwonnen
rechterhand van de keizer in de zijne, kuste deze terwijl hij zijn geprikkeldheid trachtte te verbergen, en zei: “Het is niet meer dan billijk, mijn heer, dat alles, waar u ook komt, volkomen gereinigd is.” Daarop zei Karel, die de wijste van
alle koningen was, met volle begrip voor de toestand: “Waar ik leeghaal, kan ik ook vullen.” En hij voegde eraan toe: “U mag dat landgoed hebben dat dicht bij
uw bisdom ligt, en al uw opvolgers mogen het houden tot het einde der tijden.”"																							
Havo	Tijdvak 3	KA 12 - het ontstaan van feodale verhoudingen in het bestuur		"In 743 neemt de Frankische heerser Pepijn de Korte (743-768) de volgende maatregel
1 Vanwege de oorlogsdreiging en de aanvallen van verschillende volken op onze grenzen
2 hebben we besloten, met de hulp van God en op advies van onze geestelijkheid (...), een
3 deel van het kerkelijk bezit te gebruiken voor de ondersteuning van ons leger.
4 De landerijen van de kerk worden tot leengoederen gemaakt. (…) Als de leenman overlijdt,
5 zal het leengoed aan de kerk worden teruggegeven.
6 Als de oorlogsdreiging echter blijft, zal de leenovereenkomst worden vernieuwd. De
7 overeenkomst mag echter niet ten koste gaan van de kerken en de kloosters. Als dat wel het
8 geval is, moeten zij hun bezittingen terugkrijgen.
9 De landgoederen omvatten niet alleen het land en het landhuis maar tevens alle huizen,
10 molens, stallen, bossen, weilanden, bewoners en horigen."																							
Havo	Tijdvak 3	KA 12 - het ontstaan van feodale verhoudingen in het bestuur	"
In 911 krijgt de koning van het Frankische rijk, Karel de Eenvoudige, te maken met
een inval van de Noorman Rollo. Rollo krijgt van de koning het hertogdom Normandië als leen, op voorwaarde dat hij volgende invallers zal tegenhouden. De
gebeurtenissen rond de inval staan beschreven in een kroniek uit de elfde eeuw:"	"In het jaar van Onze Heer 912 werd Rollo gedoopt in het heilige water in de naam van God door Franco, de aartsbisschop van Rouen. Rollo eerde
eerbiedig God en de Heilige Kerk met zijn geschenken. De heidenen die
zagen dat hun aanvoerder nu een christen was geworden, lieten hun afgoden in de steek en bekeerden zich en wilden zonder uitzondering worden gedoopt.
Intussen organiseerde de (Frankische) hertog Robert een prachtige
huwelijksplechtigheid, waarin Rollo volgens de christelijke riten huwde met Gisela, de dochter van de koning."																							
Havo	Tijdvak 3	KA 12 - het ontstaan van feodale verhoudingen in het bestuur	"
In 1348 sluiten de Prince of Wales (de Engelse troonopvolger) en Sir Henry Eam een overeenkomst:"	"Toekenning voor de duur van het leven aan Sir Henry Eam van een jaarlijkse rente ter waarde van 100 mark. De rente wordt in gelijke delen met Pasen en het St.-Michielsfeest (29 september) uitbetaald. (…) De genoemde Sir Henry
(…) bood zich vrijwillig aan en beloofde zich zijn leven lang in dienst te stellen van de prins, en hem te vergezellen waarheen de prins maar wil (…), zowel in tijden van vrede als in tijden van oorlog. Hij zal voor hem tegen iedereen
vechten (…), wanneer de prins strijdt voor de verdediging van zijn eigen
gebieden. De prins van zijn kant wil Sir Henry graag een dusdanige beloning geven dat hij vast aan zijn hof wordt verbonden."																							
Havo	Tijdvak 3	KA 12 - het ontstaan van feodale verhoudingen in het bestuur	"
De Franse koning Lodewijk IX de Heilige gaat in 1248 met zijn leger op kruistocht. Jean de Joinville (1224-1317) neemt op 6 juni 1249 deel aan de landing van Franse troepen onder leiding van de koning bij de Egyptische plaats Damiate.
Omstreeks 1308 schrijft Jean de Joinville daarover:"	"Toen wij de Turken zagen aankomen, plaatsten we de punten van onze
schilden en de handgrepen van onze lansen in het zand met de punten naar hen gericht. Maar toen zij zo dichtbij waren, dat ze de lansen bijna in hun
lichaam zagen dringen, draaiden zij zich om en vluchtten. Aan onze linkerzijde landde de graaf van Jaffa, die een volle neef was van de graaf van
Montbéliard, en van het geslacht Joinville. Hij landde met de grootste pracht, want zijn galjoen kwam aan, geheel beschilderd met zijn familiewapen, welk wapen bestond uit goud en een kruis gemerkt met rood. Hij had minstens
driehonderd roeiers in zijn galjoen en iedere roeier droeg een schild met het
wapen van de graaf erop. Aan ieder schild was een wimpel bevestigd, met zijn wapen in goud bewerkt."																							
Havo	Tijdvak 3	KA 12 - het ontstaan van feodale verhoudingen in het bestuur	"
Gedurende zijn regeerperiode heeft de Frankische koning Karel de Grote (747- 814) strijd geleverd met de Saksen. De Saksen leefden in het huidige Duitsland en hielden vast aan oude Germaanse tradities. Begin negende eeuw wil koning Karel de strijd beslissen en roept hij zijn leenmannen op tot de strijd. Deze brief
richt hij aan abt Fulrad van het klooster St. Denis (bij Parijs):"	"Wij maken u bekend dat onze algemene vergadering dit jaar doorgaat in het
oosten van Saksen, bij de rivier Bode, bij de plaats Stassfurt (aan de oostgrens van het rijk). Wij bevelen u naar bovengenoemde plaats te gaan met al uw
manschappen, behoorlijk gewapend en toegerust, zeven dagen voor het feest van Johannes de Doper. U zult naar die plaats komen, gereed om ten strijde te trekken, waarheen wij het ook bevelen. Dat wil zeggen, met de nodige wapens
en uitrusting, maar ook met voedsel- en kledingvoorraden voor de oorlog. Iedere ruiter moet beschikken over een schild, een lans, een zwaard, een dolk, een
boog en een gevulde pijlenkoker. Op uw wagens neemt u verschillende gereedschappen mee, zoals bijlen, schaven, grote boren, oorlogsbijlen,
houwelen, ijzeren schoppen en andere benodigdheden voor de strijd. U moet
voorzien zijn van voedsel voor drie maanden en wapens voor zes maanden. En wij dragen u op dat u vreedzaam zult optrekken naar bovengenoemde plaats.
Door welke streek van het koninkrijk u ook trekt, u zult niets anders nemen dan gras voor het vee, hout en water. En zorg ervoor dat uw vazallen optrekken
samen met hun karren en mannen tot zij bij bovengenoemde plaats zijn, zodat de afwezigheid van een heer geen gelegenheid is om zich te misdragen. Zorg
dat u niet nalatig bent als u in de toekomst nog begunstigd wil worden."																							
