type,title,url,wiki_title,wiki_url,wiki_extract,ka_best,ka_top3,confidence,matched_terms_bestka,hist_birth,hist_death,hist_mid,wiki_years,wiki_year_median,active_year,ka_status
persoon,"Aa, Abraham Jacob van der",https://historiek.net/abraham-jacob-van-der-aa-1792-1857/3080/,,,,,,0.0,,1792,1857,1824,,,1824,uncertain
persoon,"Aa, Martinus Wilhelmus van der",https://historiek.net/martinus-wilhelmus-van-der-aa-1830-1905/3082/,,,,,,0.0,,1830,1905,1868,,,1868,uncertain
persoon,"Aa, Philips van der",https://historiek.net/philips-van-der-aa-na-1586/3083/,,,,,,0.0,,,,,,,,uncertain
persoon,"Aa, Pieter van der",https://historiek.net/pieter-van-der-aa-1659-1733/3085/,,,,,,0.0,,1659,1733,1696,,,1696,uncertain
persoon,"Aabye, Karen",https://historiek.net/karen-aabye-1904-1982/3086/,,,,,,0.0,,1904,1982,1943,,,1943,uncertain
persoon,"Aafjes, Bertus",https://historiek.net/bertus-aafjes-1914-1933/3088/,,,,,,0.0,,1914,1933,1924,,,1924,uncertain
persoon,"Aalberse, Petrus",https://historiek.net/petrus-aalberse-1871-1948/3090/,,,,KA8,KA8,1.0,Petrus,1871,1948,1910,,,1910,confirmed
persoon,"Aalst, Cornelis Johannes Karel van",https://historiek.net/cornelis-johannes-karel-van-aalst-1866-1939/3092/,,,,KA21,KA21,1.0,Karel V,1866,1939,1902,,,1902,confirmed
persoon,"Aardenne,Gijs van",https://historiek.net/gijs-van-aardenne-vvd-minister/171883/,,,,,,0.0,,,,,,,,uncertain
persoon,Aartsengel Michaël,https://historiek.net/aartsengel-michael-cultus-iconografie/8154/,Aartsengel Michaël,https://nl.wikipedia.org/wiki/Micha%C3%ABl_(aartsengel),"De aartsengel Michaël (Sint-Michiel) komt voor in de Hebreeuwse Bijbel, het Nieuwe Testament en de Koran.",KA8,"KA8,KA10,KA47",0.3333,bijbel,,,,,,,confirmed
persoon,"Aasen, Ivar Andreas",https://historiek.net/ivar-andreas-aasen-1813-1896/3094/,,,,,,0.0,,1813,1896,1854,,,1854,uncertain
persoon,"Abadie, Paul",https://historiek.net/paul-abadie-1812-1884/3096/,Abdij van Paulinzella,https://nl.wikipedia.org/wiki/Abdij_van_Paulinzella,"De Abdij van Paulinzella is een klooster- en kerkruïne in het gelijknamige dorp in het Thüringerwoud. De benedictijnenabdij stamt uit de 12e eeuw. Het is een van de best bewaarde gebouwen uit de Romaanse tijd en speelde ook een beduidende rol in de Duitse romantiek en haar aanverwante literatuur. Het gebouw werd verlaten tijdens de Reformatie. Het klooster werd gesticht door Paulina, een adellijke vrouw uit het toenmalige hertogdom Saksen.",KA9,"KA9,KA3,KA8",0.3333,klooster; abdij,1812,1884,1848,,,1848,confirmed
persoon,"Abbadie, Antoine Thompson d’",https://historiek.net/antoine-thompson-dabbadie-1810-1897/3100/,,,,,,0.0,,1810,1897,1854,,,1854,uncertain
persoon,Abbas Hilmi I van Egypte,https://historiek.net/abbas-hilmi-i-van-egypte-1813-1854/3107/,,,,,,0.0,,1813,1854,1834,,,1834,uncertain
persoon,Abbas Hilmi II van Egypte,https://historiek.net/abbas-hilmi-ii-van-egypte-1874-1944/3109/,,,,,,0.0,,1874,1944,1909,,,1909,uncertain
persoon,Abbas I de Grote,https://historiek.net/abbas-i-de-grote-1571-1629/3102/,Abbas I de Grote,https://nl.wikipedia.org/wiki/Abbas_I_van_Perzi%C3%AB,Abbas I de Grote was sjah van Perzië van 1586 tot 1628. Hij was afkomstig uit de dynastie van de Safawieden.,KA17,"KA17,KA23",0.5,dynastie,1571,1629,1600,1586 1628,1607,1607,confirmed
persoon,"Abbas, Ferhat",https://historiek.net/ferhat-abbas-1899-1985/3105/,,,,,,0.0,,1899,1985,1942,,,1942,uncertain
